日期,类型,分类,金额,币种,账户,返点,备注
2025-12-01,支出,外食,980,JPY,乐天Pay,14,1.5%/早饭
2025-12-01,支出,外食,260,JPY,三井NL,23,9%対象店/咖啡
2025-12-01,支出,娱乐,1100,JPY,乐天Pay,16,1.5%/电影票
2025-12-01,支出,外食,950,JPY,三井NL,85,9%対象店
2025-12-01,收入,麻将,16200,JPY,现金,,
2025-12-02,支出,便利店,237,JPY,三井NL,21,9%
2025-12-02,支出,外食,62.75,RMB,微信,,
2025-12-02,支出,外食,970,JPY,乐天Pay,14,1.5%
2025-12-02,支出,麻将,12900,JPY,现金,,
2025-12-02,支出,交通费,146,JPY,Suica,0,
2025-12-03,支出,外食,690,JPY,三井NL,62,9%/午饭
2025-12-03,支出,旅游,790,JPY,Amex Gold,7,1%/TRIP202512A/特典航空券税金
2025-12-03,支出,旅游,99250,JPY,JCBカードW,992,1%/TRIP202512A/琴平花壇(3人AA予定)
2025-12-03,支出,服饰,1850,JPY,JCBカードW,18,1%/买衣服
2025-12-03,支出,日用品,4477,JPY,Amex Gold,44,1%/补剂
2025-12-03,支出,外食,1080,JPY,现金,,
2025-12-03,支出,交通费,575,JPY,Suica,,
2025-12-03,支出,娱乐,435,RMB,支付宝,,Paseli充值10000
2025-12-03,支出,食材,11250,JPY,朋友付款,,买菜/记账
2025-12-04,支出,日用品,3429,JPY,JCBカードW,34,1%
2025-12-04,支出,外食,940,JPY,乐天Pay,14,1.5%
2025-12-04,支出,日用品,787,JPY,Amex Gold,7,1%
